Id,Start time,Completion time,Email,Name,What is your age group?,What is your occupation?,How often do you use the internet for work or personal activities?,Which devices do you use regularly?,How would you rate your cybersecurity knowledge based on your experience and security habits?.Rate your cybersecurity knowledge.,Which of the following is the most secure way to create a password?,"Have you ever been a victim of a cyber threat (e.g., phishing, hacked account, identity theft)?",If you choose yes above: What type of cyber threat did you experience?,Which of the following do you think are cybersecurity threats?,How have you learned about Cyber Security?,How do you typically create your passwords?,How often do you update your passwords?,"If you don’t update passwords regularly, why not?",Do you enable Two-Factor Authentication (2FA) on any accounts for extra security?,"If you receive a suspicious email, what is your first reaction?",How often do you read privacy policies before accepting them?,"If a pop-up warns you about a security risk, what would you do?",What are the main reasons people fall for cyber scams?,Why do you think people fall for cyber scams?,What makes you trust a website or online service?,Did you know AI tools can analyze cybersecurity risks?,"Would you use an AI-powered assistant to explain cybersecurity threats in simple terms? 
","Have you ever used AI tools (e.g., ChatGPT, Gemini, DeepSeek) for cybersecurity advice?","What concerns, if any, do you have about AI for Cyber Security?","If an AI could help you improve your cybersecurity knowledge, how would you like it to assist you?",What is the biggest challenge in learning cybersecurity?,Would you like to be updated on the results of this project?,Please enter your email if you’d like to receive updates.,"Is there anything missing from this survey or anything you would like to add about cybersecurity awareness? 
"
11,3/1/2025 22:19,3/1/2025 22:24,anonymous,,18-24,Student,Daily,Laptop;Smartphone,Basic ,Using a password manager to generate and store unique passwords.,No,,All of the above,Formal training at work or school,Use a password manager,Only when required,I don’t think it’s necessary,Yes,Ignore it,Rarely,Read carefully before taking action,They don’t recognize the scam;Scammers are getting more convincing;They trust emails or messages that seem urgent,,,Yes,Maybe,Yes,AI could collect too much personal data; AI might make mistakes and misidentify threats;AI could be biased and not work equally for everyone,"Step-by-step guides;Cybersecurity challenges or mini-games to learn security skills. ; Hands-on simulations (e.g., recognizing phishing emails in real-time);Short educational videos explaining security concepts", I don’t know where to start,No,,
12,3/2/2025 13:27,3/2/2025 13:34,anonymous,,55-64,IT/Cybersecurity professional,Daily,"Smartphone;Laptop;Smart home devices (Alexa, Google Home, etc.)",Very,Using a password manager to generate and store unique passwords.,Yes,Phishing;Identity theft,All of the above,Formal training at work or school,Use a password manager;Create unique passwords for each account,Only when required,"I use a password manager, so I don’t need to",Yes,Report it;Ignore it,Rarely,Read carefully before taking action,They don’t recognize the scam;Scammers are getting more convincing;They are in a rush and don’t double-check,,,Yes,Yes,"I’ve used AI, but not for cybersecurity", AI might make mistakes and misidentify threats;AI could collect too much personal data,"Real-time alerts for security threats (e.g., phishing, data breaches);Quick answers to security questions",I learn best through interactive learning,Yes,,
13,3/2/2025 23:08,3/2/2025 23:13,anonymous,,45-54,Science/Research,Daily,Smartphone;Laptop,Basic ,Using a password manager to generate and store unique passwords.,No,,All of the above,Formal training at work or school;News & articles,Create unique passwords for each account,Only when required,I forget to update my passwords,Yes,Ignore it,Never,Read carefully before taking action,Scammers are getting more convincing;They don’t recognize the scam;They are in a rush and don’t double-check;They trust emails or messages that seem urgent,,,No,Maybe,Yes,AI could collect too much personal data; AI might make mistakes and misidentify threats,"Real-time alerts for security threats (e.g., phishing, data breaches);Quick answers to security questions",I don’t have time to learn,No,,
14,3/4/2025 11:11,3/4/2025 11:18,anonymous,,55-64,Education,Daily,"Desktop computer;Smartphone;Smart home devices (Alexa, Google Home, etc.);Laptop",Good ,Using a password manager to generate and store unique passwords.,Yes,Phishing;Ransomware,Phishing;Ransomware;Weak passwords;Public WiFi risks;AI-driven cyber attacks;All of the above,News & articles,Create unique passwords for each account;Use a password manager,Once a year,"I use a password manager, so I don’t need to",Yes,Report it;Verify sender details before taking action;Ignore it,Sometimes,Close it immediately,They don’t recognize the scam;Scammers are getting more convincing;They trust emails or messages that seem urgent,,,Yes,Maybe,Yes, AI might make mistakes and misidentify threats,"Quick answers to security questions;Real-time alerts for security threats (e.g., phishing, data breaches); Hands-on simulations (e.g., recognizing phishing emails in real-time)",I learn best through interactive learning,Yes,,
15,3/4/2025 11:53,3/4/2025 11:56,anonymous,,18-24,Student,Daily,Smartphone;Laptop,Some ,Using a password manager to generate and store unique passwords.,Yes,Hacked account,All of the above,"Formal training at work or school;Online courses (YouTube, Udemy, etc.)",Use a password manager,Only when required,Too difficult to remember new passwords,Yes,Report it;Depends on the sender,Rarely,Read carefully before taking action,They don’t recognize the scam;Scammers are getting more convincing;They are in a rush and don’t double-check;They trust emails or messages that seem urgent,,,Yes,Yes,Yes, AI might make mistakes and misidentify threats;AI could collect too much personal data;AI could be biased and not work equally for everyone;AI replacing human cybersecurity experts,Step-by-step guides,I learn best through interactive learning,No,,
16,3/4/2025 11:55,3/4/2025 12:00,anonymous,,25-34,Student,Daily,Laptop;Smartphone;Desktop computer,Basic ,Using a password manager to generate and store unique passwords.,Yes,Phishing,All of the above,I don’t actively learn about cybersecurity,Reuse passwords across accounts,Only when required,I forget to update my passwords,Yes,Ignore it,Never,Ignore it and continue,They don’t think cybersecurity is important;They don’t recognize the scam,,,No,Yes,No,"No concerns, I fully trust AI",Step-by-step guides, I don’t know where to start,No,,
17,3/4/2025 11:11,3/4/2025 12:06,anonymous,,45-54,Government/Public Sector,Daily,Smartphone;Laptop,Basic ,"Using a mix of letters, numbers, and symbols but reusing the same password across multiple accounts.",Yes,Hacked account,AI-driven cyber attacks;Ransomware;Phishing,"News & articles;Social media (TikTok, Twitter, Instagram, etc.);Online courses (YouTube, Udemy, etc.)",Reuse passwords across accounts,Only when required,I forget to update my passwords,Yes,Verify sender details before taking action,Sometimes,Read carefully before taking action,Scammers are getting more convincing;They don’t recognize the scam;They are in a rush and don’t double-check,,,Yes,Yes,"I’ve used AI, but not for cybersecurity", AI might make mistakes and misidentify threats;AI could collect too much personal data;AI replacing human cybersecurity experts,"Step-by-step guides;Quick answers to security questions;Real-time alerts for security threats (e.g., phishing, data breaches);Short educational videos explaining security concepts",I don’t have time to learn,Yes,,
18,3/4/2025 12:09,3/4/2025 12:14,anonymous,,55-64,IT/Cybersecurity professional,Daily,"Smartphone;Laptop;Tablet;Smart home devices (Alexa, Google Home, etc.)",Very,Using a password manager to generate and store unique passwords.,Yes,Phishing,All of the above,"Formal training at work or school;Online courses (YouTube, Udemy, etc.);News & articles",Create unique passwords for each account,Every few months,I forget to update my passwords,Yes,Report it;Verify sender details before taking action,Sometimes,Read carefully before taking action,They don’t recognize the scam;Scammers are getting more convincing;They don’t think cybersecurity is important;They are in a rush and don’t double-check;They trust emails or messages that seem urgent,,,Yes,Maybe,Yes, AI might make mistakes and misidentify threats;AI replacing human cybersecurity experts;AI could be biased and not work equally for everyone;AI could collect too much personal data,"Step-by-step guides;Quick answers to security questions;Real-time alerts for security threats (e.g., phishing, data breaches);Short educational videos explaining security concepts",I learn best through interactive learning,No,,
19,3/4/2025 11:47,3/4/2025 12:15,anonymous,,55-64,Self-employed,Daily,Smartphone;Laptop,Some ,Writing down passwords in a notebook so you don’t forget them.,No,,Phishing;Ransomware;Weak passwords;All of the above;AI-driven cyber attacks;Public WiFi risks,"News & articles;Social media (TikTok, Twitter, Instagram, etc.)",Reuse passwords across accounts;Use simple/easy-to-remember passwords,Every few months,I forget to update my passwords,No,Ignore it,Sometimes,Close it immediately,They don’t recognize the scam,,,No,No,No,AI could collect too much personal data;AI could be biased and not work equally for everyone;AI won’t be useful—I’d rather rely on my own judgment;AI replacing human cybersecurity experts,Step-by-step guides,Cyber Security is too technical and complex,No,,
20,3/4/2025 12:27,3/4/2025 12:31,anonymous,,18-24,Student,Daily,Smartphone;Laptop;Tablet,Basic ,Using a password manager to generate and store unique passwords.,No,,All of the above,I don’t actively learn about cybersecurity,Create unique passwords for each account;Use a password manager,Only when required,Takes too much time,Yes,Ignore it,Rarely,Close it immediately,They don’t recognize the scam;Scammers are getting more convincing,,,No,Maybe,No, AI might make mistakes and misidentify threats,"Step-by-step guides;Quick answers to security questions;Real-time alerts for security threats (e.g., phishing, data breaches)",Cyber Security is too technical and complex,No,,
21,3/4/2025 12:51,3/4/2025 12:57,anonymous,,55-64,Finance/Banking,Daily,Smartphone;Laptop;Tablet,Good ,"Using a mix of letters, numbers, and symbols but reusing the same password across multiple accounts.",No,Phishing,Ransomware;AI-driven cyber attacks,Formal training at work or school,Create unique passwords for each account,Every few months,I do update passwords,Yes,Verify sender details before taking action;Ignore it,Sometimes,Close it immediately,They don’t recognize the scam;Scammers are getting more convincing;They trust emails or messages that seem urgent,,,Yes,Yes,Yes,AI could be biased and not work equally for everyone;AI could collect too much personal data; AI might make mistakes and misidentify threats,"Real-time alerts for security threats (e.g., phishing, data breaches);Cybersecurity challenges or mini-games to learn security skills. ; Hands-on simulations (e.g., recognizing phishing emails in real-time);Short educational videos explaining security concepts", I don’t know where to start,Yes,,
22,3/4/2025 12:59,3/4/2025 13:03,anonymous,,18-24,Student,Daily,Smartphone;Laptop,Basic ,Writing down passwords in a notebook so you don’t forget them.,Yes,Hacked account,All of the above,"News & articles;I don’t actively learn about cybersecurity;Social media (TikTok, Twitter, Instagram, etc.)",Reuse passwords across accounts,Never,Takes too much time,Yes,Ignore it,Never,Close it immediately,They don’t recognize the scam;Scammers are getting more convincing;They don’t think cybersecurity is important;They trust emails or messages that seem urgent,,,Yes,Maybe,"I’ve used AI, but not for cybersecurity", AI might make mistakes and misidentify threats;AI could collect too much personal data;AI replacing human cybersecurity experts,"Step-by-step guides;Quick answers to security questions;Real-time alerts for security threats (e.g., phishing, data breaches)",I think I already know enough,No,,
23,3/4/2025 13:00,3/4/2025 13:08,anonymous,,18-24,Student,Daily,Laptop;Smartphone,Some ,Using a password manager to generate and store unique passwords.,No,,All of the above,I don’t actively learn about cybersecurity,Reuse passwords across accounts,Never,Too difficult to remember new passwords,Yes,Ignore it,Never,Ignore it and continue,They don’t recognize the scam;Scammers are getting more convincing,,,No,"Yes, but only if it’s interactive","I’ve used AI, but not for cybersecurity", AI might make mistakes and misidentify threats,"Step-by-step guides;Real-time alerts for security threats (e.g., phishing, data breaches)",I don’t see why it’s important to me,Yes,,
24,3/4/2025 13:09,3/4/2025 13:14,anonymous,,25-34,Student,Daily,Smartphone;Laptop,Basic ,Using a password manager to generate and store unique passwords.,Yes,Password theft,Phishing,I don’t actively learn about cybersecurity,Reuse passwords across accounts,Only when required,Too difficult to remember new passwords,Yes,Verify sender details before taking action,Never,Read carefully before taking action,They don’t recognize the scam;Scammers are getting more convincing,,,No,Maybe,No,AI could collect too much personal data;AI replacing human cybersecurity experts; AI might make mistakes and misidentify threats,"Real-time alerts for security threats (e.g., phishing, data breaches)",I don’t have time to learn,No,,
25,3/4/2025 13:10,3/4/2025 13:14,anonymous,,18-24,Student & Part time cyber sec consultant,Daily,"Smartphone;Desktop computer;Smart home devices (Alexa, Google Home, etc.)",Good ,Using a password manager to generate and store unique passwords.,Yes,Phishing,All of the above,"Formal training at work or school;Social media (TikTok, Twitter, Instagram, etc.);Online courses (YouTube, Udemy, etc.)",Use a password manager;Reuse passwords across accounts,Only when required,I forget to update my passwords,Yes,Ignore it,Never,Read carefully before taking action,They don’t recognize the scam;They don’t think cybersecurity is important;They trust emails or messages that seem urgent;They are in a rush and don’t double-check,,,No,Yes,"I’ve used AI, but not for cybersecurity", AI might make mistakes and misidentify threats;AI could collect too much personal data,"Step-by-step guides;Real-time alerts for security threats (e.g., phishing, data breaches); Hands-on simulations (e.g., recognizing phishing emails in real-time);Short educational videos explaining security concepts",I learn best through interactive learning,No,,"good survey, goodluck w ur project"
26,3/4/2025 13:24,3/4/2025 13:29,anonymous,,18-24,Student,Daily,Smartphone;Laptop;Tablet,Basic ,"Using a mix of letters, numbers, and symbols but reusing the same password across multiple accounts.",No,,All of the above,News & articles,Create unique passwords for each account,Only when required,I forget to update my passwords,Not sure what it is,Ignore it,Never,Close it immediately,Scammers are getting more convincing,,,No,Maybe,"I’ve used AI, but not for cybersecurity", AI might make mistakes and misidentify threats,Step-by-step guides, I don’t know where to start,No,,
27,3/4/2025 13:26,3/4/2025 13:31,anonymous,,18-24,Student,Daily,Smartphone;Laptop,No knowledge ,Writing down passwords in a notebook so you don’t forget them.,No,,Public WiFi risks;Phishing;Weak passwords;AI-driven cyber attacks,I don’t actively learn about cybersecurity,Use a password manager,Never,"I use a password manager, so I don’t need to",Yes,Ignore it,Never,Close it immediately,They don’t recognize the scam,,,Yes,No,No,AI replacing human cybersecurity experts,Quick answers to security questions,I refuse to utilize something when I'm aware AI was used in the making of it or stuff like chatgpg.,No,,We shouldn't rely on AI for everything 
28,3/4/2025 13:30,3/4/2025 13:34,anonymous,,18-24,Student,Daily,Smartphone;Laptop,Basic ,Writing down passwords in a notebook so you don’t forget them.,No,,All of the above,I don’t actively learn about cybersecurity,Create unique passwords for each account,Only when required,I don’t think it’s necessary,Yes,Ignore it,Never,Read carefully before taking action,They don’t recognize the scam,,,No,Maybe,No,AI could collect too much personal data,Short educational videos explaining security concepts,I don’t see why it’s important to me,No,,
29,3/4/2025 14:28,3/4/2025 14:30,anonymous,,18-24,Student,Daily,Smartphone;Laptop,No knowledge ,"Using a mix of letters, numbers, and symbols but reusing the same password across multiple accounts.",No,,Phishing,I don’t actively learn about cybersecurity,Use a password manager;Create unique passwords for each account,Only when required,Too difficult to remember new passwords,Yes,Ignore it;Click the link to check what it says,Never,Close it immediately,They don’t recognize the scam;Scammers are getting more convincing,,,No,"Yes, but only if it’s interactive",No, AI might make mistakes and misidentify threats,Step-by-step guides, I don’t know where to start,No,,
30,3/4/2025 14:34,3/4/2025 14:40,anonymous,,18-24,Student,Daily,Smartphone;Laptop,Basic ,Writing down passwords in a notebook so you don’t forget them.,Not sure,,Phishing;Weak passwords;AI-driven cyber attacks,I don’t actively learn about cybersecurity,Use a password manager,Only when required,I don’t think it’s necessary,Yes,Verify sender details before taking action,Rarely,Read carefully before taking action;Google the warning for more info,They don’t recognize the scam;Scammers are getting more convincing;They trust emails or messages that seem urgent,,,No,Yes,"I’ve used AI, but not for cybersecurity",AI could collect too much personal data,"Quick answers to security questions;Real-time alerts for security threats (e.g., phishing, data breaches);Cybersecurity challenges or mini-games to learn security skills. ; Hands-on simulations (e.g., recognizing phishing emails in real-time);Short educational videos explaining security concepts", I don’t know where to start,No,,
31,3/4/2025 14:39,3/4/2025 14:42,anonymous,,18-24,Student,Daily,Smartphone;Laptop,Some ,Using a password manager to generate and store unique passwords.,Yes,Phishing,All of the above,I don’t actively learn about cybersecurity,Reuse passwords across accounts,Never,Too difficult to remember new passwords,Yes,Ignore it,Never,Ignore it and continue,They don’t recognize the scam;They are in a rush and don’t double-check;They trust emails or messages that seem urgent,,,No,Maybe,"I’ve used AI, but not for cybersecurity", AI might make mistakes and misidentify threats;AI could collect too much personal data,Short educational videos explaining security concepts;Step-by-step guides,I don’t have time to learn,No,,
32,3/4/2025 14:40,3/4/2025 14:42,anonymous,,18-24,Student,Daily,"Smartphone;Laptop;Tablet;Smart home devices (Alexa, Google Home, etc.)",Good ,"Creating passwords that are easy for you to remember, like pet names or birthdays.",No,,All of the above,I don’t actively learn about cybersecurity,Reuse passwords across accounts,Never,Too difficult to remember new passwords,Yes,Ignore it,Never,Google the warning for more info,They trust emails or messages that seem urgent;They are in a rush and don’t double-check;Scammers are getting more convincing;They don’t recognize the scam,,,No,Yes,No,AI replacing human cybersecurity experts;AI could be biased and not work equally for everyone;AI could collect too much personal data; AI might make mistakes and misidentify threats,"Step-by-step guides;Quick answers to security questions;Real-time alerts for security threats (e.g., phishing, data breaches); Hands-on simulations (e.g., recognizing phishing emails in real-time)", I don’t know where to start,No,,
33,3/4/2025 14:39,3/4/2025 14:44,anonymous,,25-34,Student,Daily,Smartphone;Desktop computer;Laptop,Basic ,"Using a mix of letters, numbers, and symbols but reusing the same password across multiple accounts.",No,,Weak passwords;I’m not sure,I don’t actively learn about cybersecurity,Reuse passwords across accounts,Never,Too difficult to remember new passwords,Yes,Ignore it,Never,Read carefully before taking action,They don’t recognize the scam;They trust emails or messages that seem urgent,,,No,No,No,AI could be biased and not work equally for everyone;AI could collect too much personal data;AI replacing human cybersecurity experts; AI might make mistakes and misidentify threats," Hands-on simulations (e.g., recognizing phishing emails in real-time)",I don’t have time to learn,Yes,,
34,3/4/2025 14:38,3/4/2025 14:44,anonymous,,18-24,Student,Daily,Smartphone;Laptop;Tablet,Some ,Using a password manager to generate and store unique passwords.,Yes,Hacked account,Phishing;Public WiFi risks;Ransomware;I’m not sure,News & articles;Relatives and friends,Create unique passwords for each account,Only when required,i use a specific formula to set up my password for each service,Yes,Ignore it,Never,Google the warning for more info,They don’t recognize the scam;They are in a rush and don’t double-check;They trust emails or messages that seem urgent,,,No,No,"I’ve used AI, but not for cybersecurity",AI could collect too much personal data; AI might make mistakes and misidentify threats,"Quick answers to security questions;Real-time alerts for security threats (e.g., phishing, data breaches)",Online resources are too boring or hard to understand,No,,
35,3/4/2025 14:43,3/4/2025 14:48,anonymous,,18-24,Student,Daily,Smartphone;Desktop computer;Tablet,Good ,Using a password manager to generate and store unique passwords.,Yes,Phishing,Phishing;Ransomware;Public WiFi risks;AI-driven cyber attacks,Formal training at work or school;I studied computer science,Use a password manager;Create unique passwords for each account,Only when required,I forget to update my passwords,Yes,I’m not sure;Depends on the sender,Never,Ignore it and continue;Read carefully before taking action,They don’t recognize the scam;Scammers are getting more convincing;They are in a rush and don’t double-check;They trust emails or messages that seem urgent,,,No,Maybe,"I’ve used AI, but not for cybersecurity", AI might make mistakes and misidentify threats;AI could be biased and not work equally for everyone;AI could collect too much personal data,"Real-time alerts for security threats (e.g., phishing, data breaches); Hands-on simulations (e.g., recognizing phishing emails in real-time)",I think I already know enough,Yes,,
36,3/4/2025 14:48,3/4/2025 14:51,anonymous,,18-24,Student,Daily,Smartphone;Laptop,Basic ,Using a password manager to generate and store unique passwords.,No,,All of the above,"News & articles;Online courses (YouTube, Udemy, etc.)",Use a password manager,Once a year,I don’t think it’s necessary,Yes,Ignore it,Rarely,Read carefully before taking action,They don’t recognize the scam;Scammers are getting more convincing,,,No,No,No, AI might make mistakes and misidentify threats;AI replacing human cybersecurity experts,"Real-time alerts for security threats (e.g., phishing, data breaches)",Online resources are too boring or hard to understand,No,,
37,3/4/2025 14:47,3/4/2025 15:00,anonymous,,25-34,Student,Daily,Smartphone;Laptop,Some ,Writing down passwords in a notebook so you don’t forget them.,Not sure,,All of the above,I don’t actively learn about cybersecurity;Formal training at work or school,Reuse passwords across accounts;Create unique passwords for each account;Use simple/easy-to-remember passwords,Only when required,Lazy,Not sure what it is,Ignore it;Verify sender details before taking action,Rarely,Read carefully before taking action;Close it immediately,Scammers are getting more convincing;They don’t recognize the scam;Lack of knowledge,,,Yes,Maybe,"I’ve used AI, but not for cybersecurity","No concerns, I fully trust AI; AI might make mistakes and misidentify threats;AI could collect too much personal data","Quick answers to security questions;Short educational videos explaining security concepts; Hands-on simulations (e.g., recognizing phishing emails in real-time);Cybersecurity challenges or mini-games to learn security skills. ",A combination af all above,No,,"That the biggest problem for companies are that they dont get hacked, rather that someone accidentaly invites them in / gives them access!
Someone pretending to be IT etc"
38,3/4/2025 15:16,3/4/2025 15:18,anonymous,,18-24,Student,Daily,Smartphone;Laptop;Tablet,Good ,Using a password manager to generate and store unique passwords.,No,,All of the above,Formal training at work or school,Reuse passwords across accounts,Only when required,I forget to update my passwords,Yes,Ignore it,Rarely,Close it immediately,They don’t recognize the scam,,,Yes,"Yes, but only if it’s interactive","I’ve used AI, but not for cybersecurity","No concerns, I fully trust AI",Step-by-step guides,I think I already know enough,No,,
